Account Name,Street Address,City,State,Country,Domain,Salesforce Account ID,Segment,2H REP,2H ISR,2H DISTRICT,DM QCV Owner,STID,DISTRICT,GEN FSR,GEN ISR,DM Roster,INDUSTRY VERTICAL,INDUSTRY SEGMENT
UNITED TECHNOLOGIES,,,,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,100866,NORTH EAST,"WLAZLO,MICHAEL","CHAVEZ,JOHNNY",WHITFIELD KARA,Mfg & Dist:4,Aerospace
COVENANT HEALTH,,KNOXVILLE,Tennessee,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,67318,SOUTH EAST,"CARREJO,NINA","TAFOYA,CHARITY",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
BLUE CROSS AND BLUE SHIELD OF FLORIDA INC,,JACKSONVILLE,Florida,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,60628,SOUTH EAST,"RENEGAR,JOHN","STRILICH,SAGE",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Payers
OFFICE DEPOT INC,,BOCA RATON,Florida,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,86107,SOUTH EAST,"HARMAN,KIM","JARAMILLO,TIMO",WHITFIELD KARA,Mfg & Dist:4,Retail
LEXINGTON COUNTY HEALTH SERVICES DISTRICT INC ,,WEST COLUMBIA,South Carolina,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,455965,SOUTH EAST,"DURANGE,JASON","MERRICK,REBECCA",WHITFIELD KARA,Other Industries:5,Business Consultancy
NEUBERGER BERMAN GROUP LLC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,457754,NY METRO,"CAMMALLERI,PETE","DAVALOS,MARCUS",WHITFIELD KARA,Financial Services Industry:2,Financial Markets
HILTON WORLDWIDE INC,,MC LEAN,Virginia,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,74869,SOUTH EAST,"CARREJO,NINA","TAFOYA,CHARITY",WHITFIELD KARA,Mfg & Dist:4,Wholesale Trade
MAIN LINE HOSPITALS INC,,PHILADELPHIA,Pennsylvania,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,506727454,NORTH EAST,"LUKE,BETTY","LUNGTOK,TENZIN",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
KINDRED HEALTHCARE INC,,LOUISVILLE,Kentucky,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,78363,MID ATLANTIC,"COPLEN,GINA","BRESACH,DANIEL",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
NORTH SHORE - LONG ISLAND JEWISH HEALTH SYSTEM,,GREAT NECK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,85548,NY METRO,"CAMMALLERI,PETE","DAVALOS,MARCUS",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
KEYCORP,,CLEVELAND,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,77626,MID ATLANTIC,"HAMILTON,STEPHEN","CARTER,DINA",WHITFIELD KARA,Financial Services Industry:2,Banking
CIGNA CORPORATION,,BLOOMFIELD,Connecticut,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,62604,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Payers
GREENVILLE HOSPITAL SYSTEM,,GREENVILLE,South Carolina,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,75139,SOUTH EAST,"DURANGE,JASON","MERRICK,REBECCA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
